ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
587	Williams	Pretty	white1.bmp	Bob	told a young child who was playing in the dirt that he was stupid and “too young to know any better”	neg	u	False	4.468717	1	2	neg	jdc2-GNF8T52	2022-10-02_19.14.59.649000
587	Williams	Gift	white1.bmp	Bob	siphoned gas from a car parked on the street	neg	c	Correct	48.837703	1	2	neg	jdc2-GNF8T52	2022-10-02_19.14.59.649000
587	Williams	Smile	white1.bmp	Bob	called in sick for work when he was well	neg	c	Correct	3.357816	1	2	neg	jdc2-GNF8T52	2022-10-02_19.14.59.649000
587	Williams	Kitten	white1.bmp	Bob	sent flowers to his mother on Mother’s Day	pos	u	Correct	1.733806	1	2	pos	jdc2-GNF8T52	2022-10-02_19.14.59.649000
587	Williams	Puppy	white1.bmp	Bob	taunted a stranded motorist during a rainstorm	neg	c	Correct	2.989539	1	2	neg	jdc2-GNF8T52	2022-10-02_19.14.59.649000
587	Williams	Party	white1.bmp	Bob	operated under a false company name and had people pay in advance for a job he never planned to do	neg	c	Correct	3.693185	1	2	neg	jdc2-GNF8T52	2022-10-02_19.14.59.649000
587	Williams	Kiss	white1.bmp	Bob	stole a book from the college book store	neg	c	Correct	1.396987	1	2	neg	jdc2-GNF8T52	2022-10-02_19.14.59.649000
587	Williams	Party	white1.bmp	Bob	didn’t show up as a material witness for a drug case that involved a friend	neg	c	Correct	4.988061	1	2	neg	jdc2-GNF8T52	2022-10-02_19.14.59.649000
587	Williams	Pretty	white1.bmp	Bob	helped his wife plant a large vegetable garden in the backyard	pos	u	Correct	2.337800	1	2	pos	jdc2-GNF8T52	2022-10-02_19.14.59.649000
587	Williams	Happy	white1.bmp	Bob	helped his wife do the dishes after a large dinner party	pos	u	Correct	3.865535	1	2	pos	jdc2-GNF8T52	2022-10-02_19.14.59.649000
587	Williams	Gift	white1.bmp	Bob	called the SPCA on coming across a hurt animal	pos	u	Correct	3.715979	1	2	pos	jdc2-GNF8T52	2022-10-02_19.14.59.649000
587	Williams	Friend	white1.bmp	Bob	ignored someone’s cries for help on the ski slope by skiing by too fast to stop	neg	u	False	3.779834	1	2	neg	jdc2-GNF8T52	2022-10-02_19.14.59.649000
587	Williams	Gift	white1.bmp	Bob	stole clothes from the washing machines at the laundromat	neg	c	Correct	3.378344	1	2	neg	jdc2-GNF8T52	2022-10-02_19.14.59.649000
