ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
180	Florida	Smile	white1.bmp	Bob	parked his car in a space that was marked for a disabled person	neg	c	Correct	3.431823	1	2	neg	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Happy	white1.bmp	Bob	volunteers one day a week to work for the child care center	pos	u	Correct	4.580721	1	2	pos	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Smile	white1.bmp	Bob	let small children play in his orchard because there was no park nearby	pos	u	Correct	2.736933	1	2	pos	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Smile	white1.bmp	Bob	became a volunteer basketball coach for a children’s home	pos	u	Correct	3.148030	1	2	pos	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Kitten	white1.bmp	Bob	asked for spare change from a couple even though he had money	neg	c	Correct	2.673889	1	2	neg	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Puppy	white1.bmp	Bob	helped his wife do the dishes after a large dinner party	pos	u	Correct	4.578176	1	2	pos	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Friend	white1.bmp	Bob	had a surprise party for his father's birthday	pos	u	Correct	5.312180	1	2	pos	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Smile	white1.bmp	Bob	left his campfire burning at night, causing a small forest fire	neg	c	Correct	5.239099	1	2	neg	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Pretty	white1.bmp	Bob	bought plane tickets for his parents on their 25th anniversary for a trip to Hawaii	pos	c	False	2.264286	1	2	pos	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Smile	white1.bmp	Bob	stood on a street corner and insulted the people who walked by	neg	c	Correct	6.232492	1	2	neg	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Friend	white1.bmp	Bob	called in sick for work when he was well	neg	c	Correct	2.193939	1	2	neg	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Party	white1.bmp	Bob	became very angry and threatened two children who were collecting insects near his home	neg	c	Correct	7.508741	1	2	neg	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Puppy	white1.bmp	Bob	left a burner on when leaving his house	neg	c	Correct	8.312894	1	2	neg	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Kitten	white1.bmp	Bob	keeps things down when children are sleeping	pos	u	Correct	2.638410	1	2	pos	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Kiss	white1.bmp	Bob	volunteered to work at the day care center	pos	u	Correct	2.646819	1	2	pos	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Happy	white1.bmp	Bob	sent flowers to his mother on Mother’s Day	pos	u	Correct	6.908420	1	2	pos	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Gift	white1.bmp	Bob	pretended he did not hear a woman’s request for his help in lifting a baby carriage over a high curb	neg	c	Correct	4.848838	1	2	neg	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Flower	white1.bmp	Bob	bought an old guitar and fixed it up for his cousin	pos	u	Correct	4.140721	1	2	pos	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Party	white1.bmp	Bob	stopped to assist a motorist whose car had stalled during a snow storm	pos	u	Correct	6.149717	1	2	pos	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Party	white1.bmp	Bob	got drunk and insulted everybody at a cocktail party	neg	c	Correct	2.846976	1	2	neg	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Kiss	white1.bmp	Bob	went on a low fat diet and lost 20 pounds	pos	u	Correct	2.785928	1	2	pos	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Kiss	white1.bmp	Bob	does not forget to feed the birds every morning	pos	u	Correct	3.863787	1	2	pos	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Flower	white1.bmp	Bob	stopped off on his way home from work to buy a loaf of bread for dinner	pos	u	Correct	4.597106	1	2	pos	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Kiss	white1.bmp	Bob	told a young child who was playing in the dirt that he was stupid and “too young to know any better”	neg	u	False	3.873415	1	2	neg	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Flower	white1.bmp	Bob	always says good morning with a big grin on his face	pos	u	Correct	2.169305	1	2	pos	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Pretty	white1.bmp	Bob	took baby birds that he found in a nest that had fallen from a tree and nursed them to adulthood	pos	u	Correct	3.767886	1	2	pos	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Puppy	white1.bmp	Bob	avoided other people in order not to give his cold to them	pos	u	Correct	11.147051	1	2	pos	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Flower	white1.bmp	Bob	helped a friend review for a test	pos	u	Correct	2.710268	1	2	pos	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Happy	white1.bmp	Bob	overcharged customers who bought gas at a filling station	neg	c	Correct	3.281344	1	2	neg	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Happy	white1.bmp	Bob	didn’t show up as a material witness for a drug case that involved a friend	neg	c	Correct	3.975330	1	2	neg	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Friend	white1.bmp	Bob	stole an expensive pair of running shoes from a gym locker	neg	c	Correct	2.837384	1	2	neg	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Puppy	white1.bmp	Bob	gives the best gifts on Christmas	pos	u	Correct	2.104466	1	2	pos	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Pretty	white1.bmp	Bob	gives directions to a driver who is lost	pos	u	Correct	3.957808	1	2	pos	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Flower	white1.bmp	Bob	butted into the front of a long line at a movie theater	neg	c	Correct	3.945243	1	2	neg	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Flower	white1.bmp	Bob	used food coupons that were earmarked for someone else	neg	c	Correct	4.926691	1	2	neg	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Smile	white1.bmp	Bob	spends a great deal of his time voluntarily tutoring disadvantaged students in areas of mathematics and English	pos	u	Correct	4.171278	1	2	pos	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Kitten	white1.bmp	Bob	rode his bike to work every day to cut down on pollution and gas consumption	pos	u	Correct	9.097410	1	2	pos	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Pretty	white1.bmp	Bob	read section from Alice in Wonderland to his children before they went to bed	pos	u	Correct	4.600583	1	2	pos	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Happy	white1.bmp	Bob	built a bookcase for his new apartment	pos	u	Correct	2.207142	1	2	pos	PSY-1517	2021-11-16_11.00.23.988000
180	Florida	Flower	white1.bmp	Bob	defaced a large rock with spray paint in a public park	neg	c	Correct	6.882541	1	2	neg	PSY-1517	2021-11-16_11.00.23.988000
