ParticipantNumber	Location	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
463	HongKong	Happy	white3.bmp	Bob	keeps things down when children are sleeping	pos	c	False	7.896245	1	2	pos	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Kiss	white3.bmp	Bob	spent two years working in the slums of Chicago at a strip club	neg	u	False	9.354345	1	2	neg	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Kitten	white3.bmp	Bob	slapped his child for spilling a glass of milk	neg	c	Correct	2.544268	1	2	neg	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Friend	white3.bmp	Bob	tells those close to him that he loves them	pos	u	Correct	3.163053	1	2	pos	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Pretty	white3.bmp	Bob	does not forget to feed the birds every morning	pos	u	Correct	4.122343	1	2	pos	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Smile	white3.bmp	Bob	convinced his boss to fire an employee for arriving late for work	neg	c	Correct	4.222931	1	2	neg	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Pretty	white3.bmp	Bob	bought items at a discount store and returned them for a refund at a different store with higher prices	neg	c	Correct	5.046432	1	2	neg	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Party	white3.bmp	Bob	wrote letters to his congressperson supporting equal rights for all	pos	u	Correct	4.242449	1	2	pos	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Pretty	white3.bmp	Bob	helped his wife do the dishes after a large dinner party	pos	u	Correct	1.944293	1	2	pos	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Flower	white3.bmp	Bob	put out his cigarette in a state building after observing a no smoking sign	pos	u	Correct	6.304507	1	2	pos	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Kiss	white3.bmp	Bob	threatened some people with a gun for trespassing on his land	neg	c	Correct	3.287336	1	2	neg	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Friend	white3.bmp	Bob	helped in an activity program for handicapped children	pos	u	Correct	1.986588	1	2	pos	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Happy	white3.bmp	Bob	had someone else write a term paper for him	neg	c	Correct	2.146616	1	2	neg	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Smile	white3.bmp	Bob	stole a parking place by driving into it from behind while someone else was backing into it	neg	c	Correct	7.456604	1	2	neg	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Smile	white3.bmp	Bob	spent his day off helping his mother around the house	pos	u	Correct	3.176930	1	2	pos	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Friend	white3.bmp	Bob	told a woman that she had dropped her wallet	pos	u	Correct	2.050774	1	2	pos	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Kitten	white3.bmp	Bob	stood on a street corner and insulted the people who walked by	neg	c	Correct	2.846871	1	2	neg	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Kitten	white3.bmp	Bob	belittles the minority individuals he knows	neg	c	Correct	2.922768	1	2	neg	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Friend	white3.bmp	Bob	volunteers one day a week to work for the child care center	pos	u	Correct	2.754308	1	2	pos	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Flower	white3.bmp	Bob	let an old couple ride free on the bus he was driving because they didn’t have enough money for two fares	pos	u	Correct	5.302844	1	2	pos	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Kitten	white3.bmp	Bob	writes his parents at least once every two weeks	pos	u	Correct	1.819763	1	2	pos	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Flower	white3.bmp	Bob	told the proprietor of a small store that she had given him too much change	pos	u	Correct	4.129133	1	2	pos	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Happy	white3.bmp	Bob	smashed windows in a public building during a demonstration to protest construction of a home for the aged	neg	c	Correct	3.682960	1	2	neg	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Pretty	white3.bmp	Bob	pretended he did not hear a woman’s request for his help in lifting a baby carriage over a high curb	neg	c	Correct	2.952997	1	2	neg	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Kiss	white3.bmp	Bob	called in sick for work when he was well	neg	c	Correct	1.995113	1	2	neg	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Happy	white3.bmp	Bob	helped his friend fix up his house so his friend could afford a better house for his family	pos	u	Correct	4.007114	1	2	pos	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Happy	white3.bmp	Bob	helped a food bank deliver turkeys to need families on Thanksgiving	pos	u	Correct	1.961519	1	2	pos	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Puppy	white3.bmp	Bob	ran over a child's bike with his car	neg	c	Correct	1.365147	1	2	neg	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Friend	white3.bmp	Bob	stole an expensive pair of running shoes from a gym locker	neg	c	Correct	2.153836	1	2	neg	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Kiss	white3.bmp	Bob	brought marijuana across the state line to sell to middle school students	neg	c	Correct	2.315216	1	2	neg	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Puppy	white3.bmp	Bob	bought groceries for an elderly lady next door who was ill	pos	u	Correct	1.569262	1	2	pos	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Party	white3.bmp	Bob	got drunk and pushed a seven-year-old girl	neg	c	Correct	1.685205	1	2	neg	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Pretty	white3.bmp	Bob	gives directions to a driver who is lost	pos	u	Correct	2.829243	1	2	pos	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Gift	white3.bmp	Bob	lent a friend his new sleeping bag and tent to go camping	pos	u	Correct	2.311246	1	2	pos	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Flower	white3.bmp	Bob	broke in a locker and stole $400 worth of ski equipment	neg	c	Correct	1.661285	1	2	neg	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Flower	white3.bmp	Bob	asked for spare change from a couple even though he had money	neg	c	Correct	2.333439	1	2	neg	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Happy	white3.bmp	Bob	paid a man to follow his wife around	neg	c	Correct	2.167399	1	2	neg	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Kiss	white3.bmp	Bob	helped a wheelchair patient up a ramp	pos	u	Correct	1.787625	1	2	pos	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Pretty	white3.bmp	Bob	went on a low fat diet and lost 20 pounds	pos	u	Correct	3.221598	1	2	pos	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Gift	white3.bmp	Bob	planted tomatoes and cucumbers in a small garden behind his house	pos	u	Correct	2.195526	1	2	pos	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Gift	white3.bmp	Bob	tricked a housewife into paying money for a subscription to a magazine that did not exist	neg	c	Correct	3.109609	1	2	neg	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Pretty	white3.bmp	Bob	drove his car down a residential street at 70 mph to impress his girlfriend	neg	c	Correct	2.625580	1	2	neg	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Pretty	white3.bmp	Bob	hit a dog in the street and drove away without stopping to notify the owner	neg	c	Correct	3.217984	1	2	neg	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Pretty	white3.bmp	Bob	buys all of his friends a drink at the bar	pos	u	Correct	1.795446	1	2	pos	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Happy	white3.bmp	Bob	rode his bike to work every day to cut down on pollution and gas consumption	pos	u	Correct	1.897663	1	2	pos	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
463	HongKong	Smile	white3.bmp	Bob	spent some of his salary on groceries for a disadvantaged family	pos	u	Correct	2.179740	1	2	pos	DESKTOP-MQ3JB2Q	2023-04-11_15.54.00.018000
